"","Afghanist","Albania","Australia","Canada","China","Denmark","Finland","France","Germany","Greece","Hong Kong","India","Ireland","Malaysia","Mexico","Netherlan","New Zeala","Norway","Philippin","Romania","Singapore","South Afr","South Kor","Sweden","Thailand","UK","USA"
"Afghanist",0.027,0.027,0.02,0.019,0.03,0.03,0.026,0.029,0.026,0.032,0.028,0.025,0.024,0.029,0.028,0.024,0.024,0.027,0.025,0.028,0.024,0.026,0.03,0.026,0.038,0.02,0.024
"Albania",0.026,0.026,0.019,0.018,0.03,0.029,0.025,0.028,0.025,0.031,0.027,0.024,0.023,0.029,0.029,0.024,0.023,0.026,0.025,0.028,0.023,0.025,0.029,0.025,0.038,0.018,0.024
"Australia",0.022,0.022,0.012,0.01,0.024,0.024,0.02,0.023,0.021,0.027,0.023,0.019,0.017,0.023,0.024,0.018,0.017,0.021,0.019,0.024,0.018,0.021,0.026,0.02,0.036,0.011,0.019
"Canada",0.022,0.022,0.012,0.009,0.025,0.025,0.019,0.023,0.021,0.027,0.023,0.019,0.018,0.024,0.024,0.018,0.017,0.021,0.019,0.024,0.018,0.021,0.025,0.02,0.035,0.011,0.019
"China",0.026,0.026,0.018,0.017,0.021,0.028,0.023,0.026,0.024,0.028,0.023,0.021,0.022,0.024,0.025,0.022,0.022,0.025,0.021,0.025,0.02,0.025,0.025,0.024,0.03,0.018,0.025
"Denmark",0.029,0.029,0.023,0.022,0.029,0.029,0.025,0.028,0.026,0.031,0.029,0.026,0.025,0.03,0.03,0.025,0.025,0.027,0.027,0.029,0.026,0.028,0.031,0.025,0.039,0.022,0.027
"Finland",0.025,0.025,0.017,0.015,0.026,0.026,0.019,0.024,0.022,0.028,0.025,0.021,0.02,0.026,0.025,0.019,0.02,0.022,0.022,0.025,0.02,0.023,0.027,0.021,0.036,0.016,0.022
"France",0.026,0.026,0.018,0.018,0.026,0.026,0.022,0.024,0.022,0.027,0.025,0.022,0.021,0.026,0.025,0.021,0.021,0.024,0.022,0.025,0.021,0.024,0.027,0.022,0.035,0.018,0.023
"Germany",0.025,0.025,0.016,0.014,0.025,0.026,0.021,0.024,0.021,0.028,0.025,0.021,0.021,0.026,0.026,0.02,0.02,0.023,0.022,0.025,0.021,0.024,0.027,0.022,0.035,0.015,0.023
"Greece",0.028,0.028,0.021,0.02,0.028,0.029,0.025,0.028,0.026,0.029,0.028,0.024,0.024,0.028,0.028,0.024,0.024,0.027,0.025,0.028,0.024,0.026,0.029,0.026,0.035,0.021,0.026
"Hong Kong",0.027,0.027,0.019,0.018,0.024,0.029,0.024,0.026,0.025,0.029,0.023,0.021,0.023,0.025,0.026,0.023,0.023,0.026,0.022,0.026,0.02,0.025,0.027,0.024,0.032,0.019,0.025
"India",0.024,0.024,0.016,0.014,0.022,0.026,0.021,0.024,0.022,0.026,0.022,0.017,0.019,0.022,0.024,0.02,0.02,0.023,0.019,0.023,0.018,0.022,0.024,0.022,0.03,0.015,0.022
"Ireland",0.023,0.023,0.014,0.013,0.024,0.025,0.02,0.023,0.021,0.027,0.023,0.02,0.018,0.024,0.025,0.019,0.018,0.021,0.02,0.024,0.018,0.021,0.026,0.02,0.036,0.013,0.02
"Malaysia",0.026,0.026,0.019,0.017,0.025,0.029,0.024,0.027,0.025,0.029,0.024,0.021,0.022,0.023,0.026,0.023,0.022,0.026,0.021,0.025,0.02,0.025,0.027,0.025,0.031,0.018,0.024
"Mexico",0.025,0.025,0.019,0.018,0.025,0.027,0.023,0.025,0.023,0.027,0.024,0.021,0.022,0.025,0.024,0.022,0.021,0.024,0.022,0.024,0.021,0.024,0.026,0.024,0.032,0.018,0.023
"Netherlan",0.024,0.023,0.015,0.013,0.024,0.024,0.02,0.023,0.021,0.027,0.024,0.02,0.019,0.024,0.024,0.017,0.019,0.021,0.021,0.024,0.019,0.022,0.025,0.02,0.034,0.014,0.021
"New Zeala",0.024,0.023,0.014,0.013,0.026,0.025,0.021,0.024,0.022,0.028,0.024,0.02,0.019,0.025,0.025,0.02,0.019,0.022,0.021,0.025,0.019,0.022,0.027,0.021,0.036,0.013,0.021
"Norway",0.027,0.026,0.019,0.018,0.028,0.027,0.022,0.026,0.024,0.03,0.027,0.024,0.022,0.028,0.028,0.022,0.022,0.023,0.024,0.027,0.023,0.025,0.029,0.023,0.038,0.018,0.024
"Philippin",0.024,0.024,0.016,0.015,0.024,0.027,0.022,0.025,0.023,0.028,0.023,0.019,0.021,0.023,0.025,0.021,0.02,0.024,0.018,0.024,0.019,0.023,0.025,0.023,0.031,0.016,0.022
"Romania",0.031,0.03,0.024,0.023,0.03,0.032,0.028,0.03,0.029,0.033,0.029,0.026,0.027,0.03,0.03,0.027,0.027,0.029,0.027,0.027,0.026,0.029,0.032,0.028,0.038,0.024,0.029
"Singapore",0.024,0.024,0.015,0.013,0.024,0.026,0.021,0.025,0.022,0.027,0.022,0.019,0.02,0.023,0.024,0.02,0.02,0.023,0.019,0.024,0.017,0.022,0.025,0.022,0.033,0.014,0.022
"South Afr",0.024,0.024,0.016,0.014,0.025,0.026,0.022,0.025,0.022,0.028,0.024,0.02,0.02,0.025,0.025,0.02,0.02,0.023,0.021,0.025,0.019,0.022,0.026,0.022,0.035,0.015,0.021
"South Kor",0.027,0.028,0.021,0.019,0.026,0.028,0.025,0.027,0.025,0.03,0.025,0.023,0.024,0.026,0.027,0.024,0.024,0.026,0.024,0.027,0.023,0.026,0.026,0.025,0.032,0.019,0.026
"Sweden",0.026,0.026,0.016,0.015,0.026,0.026,0.022,0.026,0.023,0.029,0.026,0.022,0.021,0.026,0.027,0.02,0.021,0.023,0.023,0.026,0.022,0.024,0.028,0.021,0.037,0.015,0.023
"Thailand",0.028,0.028,0.021,0.02,0.026,0.03,0.026,0.028,0.027,0.03,0.026,0.023,0.024,0.026,0.027,0.025,0.024,0.028,0.023,0.027,0.023,0.027,0.027,0.027,0.027,0.021,0.027
"UK",0.023,0.022,0.012,0.01,0.024,0.025,0.019,0.023,0.02,0.027,0.023,0.019,0.017,0.024,0.025,0.018,0.017,0.021,0.02,0.024,0.018,0.021,0.026,0.02,0.036,0.01,0.02
"USA",0.022,0.022,0.012,0.01,0.026,0.025,0.02,0.024,0.021,0.027,0.024,0.019,0.018,0.025,0.024,0.018,0.017,0.021,0.02,0.024,0.018,0.021,0.026,0.02,0.036,0.012,0.019
